Date,Open,High,Low,Close,Volume
2024-02-02,33.37,33.71,33.17,33.47,40416033
2024-02-01,33.93,34.25,32.93,33.55,57084761
2024-01-31,34.57,35.1,34.0,34.01,54715969
2024-01-30,33.9,34.89,33.84,34.79,60315745
2024-01-29,33.4,33.65,33.235,33.61,30269262
